,speechiness,tempo
0UCS7TpivG0Ngsn77wxfp2,0.0509,72.069
2KIxyCvBR4u1f9B2IRdlXX,0.0282,117.006
00hVU6kDP67JHurfwG2dtq,0.029,77.054
1R8VlVTZgibYQ6mRCA2P5h,0.0577,154.845
2P22urNR72NXXZl3SNg0h7,0.282,88.669
2Y635nAWC5JNbYZnjZAm6x,0.0387,122.988
1in5i92wwt1shJd5sboigd,0.469,163.327
3XXO8o0P48IxMf2y0kTJhh,0.0299,129.861
5WJoBmX2BfMlzVy1epNwpO,0.181,95.017
0TzFMticq7sEltOL4jMiVT,0.309,128.087
4RJHa0uZqGV4bGyKQe2wcM,0.0326,144.852
5NQYyej46WQkgCbnzGD21W,0.0436,150.721
438rvMKzU8eMENdVxCI30n,0.0431,206.003
03g7fElHSW3uhrJ09gx6c6,0.0637,165.943
4QhWbupniDd44EDtnh2bFJ,0.0466,107.989
3MpdgSxThlICp5LSsZejGf,0.134,91.008
6MtWTKkTqk2Tg2IdTSUdAW,0.0784,111.39
1usA111cKBkU3p9bJqT1r5,0.0362,131.716
1Epb6Kfe3GTgKrrWs1Y4Wy,0.357,133.177
7IAgzSvRTnFNQJNCgQXSJS,0.221,84.415
4v6jydWBTAIqnyPVNyOAdc,0.0329,123.871
1F4bXwGiiLyCQ3JbkKjtO5,0.0328,130.099
0I67c6jPoBxVkUwo02bZnD,0.0394,99.234
5Ad77NKveKlXtLEtIbYWsa,0.0664,155.076
4lUKzuoGfNfk7jlbxM2xNX,0.564,92.993
62NhZM0i7RrAThbBmb2vsQ,0.3,94.952
2gdPoGz36VlwTB8SQCinWl,0.0583,144.035
3OgkfYg13Jj96E982moWje,0.0552,74.31
2bNxCVI4Fub8BAwr0CQDyd,0.093,127.945
1G6sv9WFj9YPnHRVBiaWVV,0.0435,75.611
6AWbUFUg1ufaaTT98IbjMV,0.0308,86.77
0eI19vR5WZ12fuYcEFUVkw,0.0399,129.999
24Jq9wfHPh7LpZ8uYPTpqw,0.0539,81.044
2KKtVbiUduFBMSRDjijMWz,0.0303,127.979
0X5colbTzWXiIteOKMNYFh,0.0284,113.957
59xVmMwNXroARkfc9JJ95I,0.145,141.997
5WhCtRyKVKuw7Whsm7prVS,0.0369,146.124
